"empl_ind_construction_%","agri_gross_value_livestock_m$","indstry_bus_trnsprt_pst_wrhsng_cnt","indstry_bus_prof_sci_tech_cnt","vhcl_light_rigid_truck","insolv_tot_debator_entr_bus_rel_per_insolv","agri_meat_chiecken_cnt","agri_broadacre_tot_area","bus_exit_20_plus_emply_cnt","year","vhcl_non_freight_truck","bus_exit_no_emply_cnt","empl_ind_admin_safety_%","fuel_type_diesel","bus_no_emply_cnt","bld_app_priv_dwl_exc_hs_cnt","sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income","empl_ind_mnfctrng_%","res_prop_att_dwl_trnsfrs_cnt","indstry_bus_construction_cnt","vhcl_reg_over_10_yrs","vhcl_light_commercial","indstry_bus_mining_cnt","vhcl_heavy_rigid_truck","occ_debtor_service_worker","fuel_type_electric","vhcl_tot","p_t_trdmrk_apps_cnt","indstry_bus_hlth_soc_ass_cnt","indstry_bus_art_rec_cnt","agri_meat_cattle_cnt","empl_ind_admin_supp_%","bld_app_tot_priv_dwl_val_aud","bus_exit_5_19_emply_cnt","indstry_bus_admin_supp_cnt","bld_app_tot_non_res_bld_val_aud","occ_debtor_technician_trade","indstry_bus_retail_trd_cnt","vhcl_reg_less_than_5_yrs","vhcl_campervans","bld_app_tot_priv_dwl_cnt","indstry_bus_financ_insur_cnt","agri_gross_value_agri_production_m$","empl_ind_whlsle_trd_%","indstry_bus_accom_food_cnt","bld_app_priv_hse_cnt","fuel_type_petrol","vhcl_passenger","occ_debtor_professional","indstry_bus_tot_cnt","empl_ind_oth_serv_%","bld_app_priv_hse_val_aud","sel_cause_bus_rel_insolv_caused_by_economic","bld_app_priv_dwl_exc_hs_val_aud","indstry_bus_current_unkwn_cnt","indstry_bus_whlsle_trd_cnt","tourist_accom_over_15_rooms","bus_entr_tot_cnt","agri_area_holding","empl_ind_mining_%","occ_debtor_other_unkwn","empl_ind_edu_train_%","agri_veg_human_consumption","bus_entr_no_emply_cnt","bus_20_plus_emply_cnt","indstry_bus_ag_frst_fsh_cnt","indstry_bus_oth_serv_cnt","p_t_patent_apps_cnt","indstry_bus_rent_rl_est_cnt","indstry_bus_infomedia_telecom_cnt","bus_entr_5_19_emply_cnt","bld_app_tot_res_bld_val_aud","occ_debtor_sales_worker","indstry_bus_mnfctrng_cnt","bus_entr_20_plus_emply_cnt","indstry_bus_edu_train_cnt","sa3_code16","agri_gross_value_crops_m$","res_prop_att_dwl_med_sal_prc_aud","empl_ind_hlth_soc_assist_%","agri_fruit_nut_orchard_tree","occ_debtor_machinery_op_driver","vhcl_motorcycles","empl_ind_ag_frst_fsh_%","empl_tot","bus_tot_cnt","agri_dairy_cattle_cnt","occ_debtor_labourer","bld_app_tot_dwl_cnt","empl_ind_prof_sci_tech_cnt_%","agri_sheep_cnt","bus_5_19_emply_cnt","empl_ind_retail_trd_%","fuel_type_lpg_dual_other","insolv_tot_debator_entr_per_insolv","bus_entr_1_4_emply_cnt","occ_debtor_clerical_admin","empl_ind_trnsprt_pst_wrhsng_%","sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use","empl_ind_elc_gs_wtr_wst_%","res_prop_hse_med_sal_prc_aud","empl_ind_rent_rl_est_%","agri_pig_cnt","vhcl_buses","insolv_tot_debator_entr_non_bus_rel_per_insolv","bus_exit_tot_cnt","empl_ind_financ_insur_%","indstry_bus_elc_gs_wtr_wst_cnt","bld_app_tot_bld_val_aud","res_prop_hse_trnsfs_cnt","vhcl_reg_5_to_10","bus_1_4_emply_cnt","empl_ind_accom_food_%","empl_ind_art_rec_%","occ_debtor_manager","bus_exit_1_4_emply_cnt","indstry_bus_pub_admin_safety_cnt","vhcl_articulated_truck","sa3_name16","empl_ind_infomedia_telecom_%"
"null","null","325","478","477","9","null","null","3",2015,"13","428","null","11218","2756","49","29","null","314.0","1112","21167","9578","14","1299","12","25","44474","86","134","63","null","null","126.0","25","152","11.0","20","215","10481","90","383","241","null","null","153","334","32139","30331","8","4565","null","116.0","4","10.0","50","90","14","525","null","null","null","null","null","341","80","583","211","11","399","30","21","129.0","9","203","3","66",10102,"null","320000.0","null","null","12","2384","null","null","4565","null","9","383","null","null","440","null","1127","93","158","7","null","20","null","553750.0","null","null","180","84","576","null","18","139.0","766.0","12829","1287","null","null","10","123","17","122","Queanbeyan","null"
"null","null","119","170","151","6","null","null","null",2015,"14","161","null","5818","1362","32","4","null","106.0","375","9363","5041","4","511","3","4","16910","29","79","26","null","null","23.0","13","69","8.0","7","145","3314","45","77","103","null","null","184","45","10856","10133","null","2461","null","17.0","null","6.0","15","47","59","227","null","null","null","null","null","149","36","753","79","5","171","8","12","24.0","null","67","3","28",10103,"null","240000.0","null","null","null","799","null","null","2461","null","6","77","null","null","333","null","312","30","64","5","null","12","null","270000.0","null","null","142","24","220","null","6","32.0","300.0","4229","725","null","null","null","50","4","74","Snowy Mountains","null"
"null","null","286","424","459","23","null","null","null",2015,"17","420","null","14202","3080","38","29","null","417.0","1145","34118","12763","10","1088","20","6","60051","92","279","65","null","null","138.0","33","170","60.0","14","507","11332","360","401","279","null","null","432","363","44740","41644","8","5657","null","131.0","7","7.0","41","121","55","506","null","null","19","null","null","305","95","769","288","11","493","31","23","142.0","8","223","null","60",10104,"null","255000.0","null","null","9","3180","null","null","5657","null","11","401","null","null","623","null","1163","100","171","7","null","9","null","379000.0","null","null","369","77","585","null","17","202.0","1614.0","14607","1853","null","null","4","134","13","171","South Coast","null"
"null","null","175","211","282","6","null","null","null",2015,"15","231","null","7543","1881","12","14","null","null","427","15733","7813","4","791","7","null","29721","42","127","42","null","null","51.0","14","64","29.0","8","177","6733","100","199","141","null","null","114","187","21477","19102","null","3196","null","50.0","null","2.0","23","66","14","307","null","null","10","null","null","219","40","1146","141","6","200","15","6","55.0","null","83","null","29",10105,"null","null","null","null","null","1347","null","null","3196","null","3","201","null","null","306","null","727","44","80","4","null","10","null","null","null","null","146","38","310","null","9","84.0","null","7269","969","null","null","null","70","9","125","Goulburn  Mulwaree","null"
"null","null","218","292","349","6","null","null","3",2015,"25","278","null","10817","2455","22","14","null","null","602","16383","9117","13","1290","8","null","31339","44","99","53","null","null","76.0","21","86","26.0","9","216","6973","95","236","179","null","null","130","214","19937","18678","null","4306","null","70.0","null","6.0","30","107","15","393","null","null","10","null","null","245","71","1752","125","6","230","4","17","78.0","5","122","3","31",10106,"null","null","null","null","4","1334","null","null","4306","null","4","236","null","null","462","null","685","46","125","5","null","11","null","null","null","null","131","40","400","null","13","104.0","null","8005","1324","null","null","null","100","4","320","Young  Yass","null"
"null","null","500","1750","868","44","null","null","11",2015,"37","1251","null","18453","7156","486","71","null","1303.0","2635","59687","15858","26","1277","36","9","125818","370","981","229","null","null","241.0","66","532","123.0","53","849","30651","431","872","1055","null","null","518","386","104412","101485","21","12958","null","146.0","15","95.0","133","423","23","1665","null","null","19","null","null","1052","274","336","582","37","1402","147","54","249.0","23","526","6","211",10201,"null","410000.0","null","null","18","5317","null","null","12958","null","31","872","null","null","1253","null","2744","258","560","31","null","76","null","570000.0","null","null","389","214","1704","null","51","372.0","3555.0","35515","4276","null","null","26","379","63","156","Gosford","null"
"null","null","512","853","796","44","null","null","6",2015,"33","773","null","16942","4549","93","101","null","713.0","2093","59432","15919","12","1296","43","3","115466","158","425","116","null","null","133.0","78","353","96.0","53","585","25258","538","555","557","null","null","397","462","95536","90799","26","8368","null","115.0","14","18.0","96","269","17","1103","null","null","38","null","null","679","171","182","500","17","769","64","39","150.0","36","364","3","141",10202,"null","322000.0","null","null","27","5328","null","null","8368","null","35","556","null","null","875","null","2923","319","386","37","null","73","null","425000.0","null","null","473","275","1176","null","39","246.0","3814.0","30783","2773","null","null","24","319","52","284","Wyong","null"
"null","null","240","285","353","8","null","null","null",2015,"22","308","null","9964","2329","122","28","null","111.0","664","18383","9236","19","956","14","null","37128","28","176","51","null","null","104.0","12","112","61.0","15","207","9139","105","390","199","null","null","163","268","26669","24033","7","3903","null","81.0","null","23.0","18","87","19","361","null","null","9","null","null","249","84","930","183","15","340","21","13","105.0","5","141","null","49",10301,"null","236000.0","null","null","11","2007","null","null","3903","null","18","390","null","null","410","null","591","86","97","5","null","27","null","355000.0","null","null","146","78","390","null","7","167.0","825.0","9571","1086","null","null","null","67","13","270","Bathurst","null"
"null","null","407","214","481","13","null","null","null",2015,"37","463","null","18106","3704","5","20","null","27.0","588","27448","15842","20","2041","13","null","50162","54","143","44","null","null","42.0","37","89","75.0","9","363","10667","168","143","215","null","null","260","138","31606","28094","3","6463","null","41.0","null","1.0","36","165","35","561","null","null","14","null","null","342","87","3003","275","21","369","8","26","44.0","6","191","null","35",10302,"null","215000.0","null","null","4","2045","null","null","6463","null","15","145","null","null","730","null","676","75","194","4","null","18","null","197500.0","null","null","322","62","625","null","23","119.0","933.0","12133","1950","null","null","7","119","11","1132","Lachlan Valley","null"
"null","null","205","222","383","4","null","null","3",2015,"31","328","null","11739","2298","3","27","null","52.0","583","21533","11681","36","1164","13","null","39534","66","144","32","null","null","45.0","21","93","22.0","11","255","8287","111","149","130","null","null","208","146","27228","23500","4","3884","null","43.0","null","2.0","23","88","18","355","null","null","8","null","null","211","57","1206","159","15","248","12","8","45.0","6","162","3","34",10303,"null","254250.0","null","null","5","2341","null","null","3884","null","10","149","null","null","426","null","682","69","132","9","null","16","null","285000.0","null","null","156","65","459","null","9","67.0","925.0","9683","1096","null","null","null","103","16","167","Lithgow  Mudgee","null"
"null","null","256","378","424","17","null","null","6",2015,"33","382","null","14025","3072","19","43","null","93.0","791","22127","12455","27","1202","13","null","47628","54","294","46","null","null","102.0","22","130","42.0","16","292","12921","103","356","283","null","null","211","337","33166","30796","9","5120","null","99.0","6","3.0","45","139","16","551","null","null","14","null","null","367","108","1327","232","11","399","17","18","106.0","10","198","3","37",10304,"null","240700.0","null","null","14","2223","null","null","5120","null","19","361","null","null","552","null","550","110","161","8","null","31","null","338000.0","null","null","184","93","498","null","14","147.0","975.0","12597","1386","null","null","7","90","13","208","Orange","null"
"null","null","186","203","299","9","null","null","3",2015,"30","331","null","9812","2402","3","26","null","156.0","559","23445","8075","11","809","12","null","38791","18","174","58","null","null","36.0","20","81","6.0","16","287","6310","261","137","185","null","null","199","134","28449","27274","8","3761","null","35.0","7","null","17","72","21","341","null","null","12","null","null","218","64","982","194","3","301","14","14","40.0","6","178","null","37",10401,"null","270000.0","null","null","3","1615","null","null","3761","null","6","137","null","null","361","null","640","76","104","8","null","17","null","315000.0","null","null","262","67","430","null","11","46.0","981.0","9050","933","null","null","5","77","5","166","Clarence Valley","null"
"null","null","306","580","452","21","null","null","5",2015,"28","545","null","14769","3805","104","42","null","489.0","1204","37014","11672","14","1144","14","6","66841","73","465","83","null","null","136.0","45","217","47.0","23","467","12663","357","439","444","null","null","364","335","51072","48948","4","6628","null","109.0","5","27.0","70","174","39","718","null","null","16","null","null","468","144","899","297","12","600","45","32","136.0","13","276","5","87",10402,"null","275000.0","null","null","8","3654","null","null","6628","null","13","439","null","null","739","null","1064","119","222","12","null","25","null","420000.0","null","null","380","98","777","null","20","184.0","1394.0","17109","1950","null","null","16","186","14","206","Coffs Harbour","null"
"null","null","149","73","229","null","null","null","3",2015,"26","227","null","9011","1855","null","6","null","5.0","235","10702","7427","65","883","6","null","20035","7","64","15","null","null","3.0","13","46","24.0","3","170","4412","53","11","92","null","null","118","11","11082","10227","null","3041","null","3.0","null","null","20","50","20","248","null","null","null","null","null","166","45","1602","87","null","181","10","9","7.0","null","47","3","10",10501,"null","170000.0","null","null","6","668","null","null","3041","null","6","20","null","null","317","null","161","38","67","null","null","12","null","142000.0","null","null","147","null","299","null","17","31.0","260.0","4952","824","null","null","3","55","3","375","Bourke  Cobar  Coonamble","null"
"null","null","58","47","156","null","null","null","null",2015,"11","93","null","4067","669","null","16","null","null","156","8122","4085","6","258","5","null","15387","12","55","12","null","null","5.0","10","35","12.0","6","120","3499","45","11","56","null","null","114","11","11132","9789","null","1229","null","5.0","null","null","8","29","14","129","null","null","null","null","null","94","23","298","81","null","92","4","null","6.0","6","37","null","13",10502,"null","null","null","null","3","854","null","null","1229","null","8","11","null","null","169","null","280","35","29","null","null","8","null","105000.0","null","null","72","null","129","null","3","19.0","328.0","3747","368","null","null","3","25","null","117","Broken Hill and Far West","null"
"null","null","460","338","594","14","null","null","10",2015,"51","512","null","18349","4341","73","37","null","86.0","1010","28879","15943","8","2076","23","3","57463","46","286","47","null","null","116.0","35","157","57.0","14","385","13491","177","400","326","null","null","318","327","38701","35033","11","7213","null","91.0","6","25.0","65","183","55","691","null","null","12","null","null","443","121","2453","364","14","495","20","23","107.0","8","204","null","57",10503,"null","253650.0","null","null","8","2483","null","null","7213","null","21","405","null","null","755","null","681","111","218","7","null","32","null","285000.0","null","null","355","97","691","null","19","163.0","1264.0","15110","1992","null","null","7","127","15","751","Dubbo","null"
"null","null","358","416","605","14","null","null","8",2015,"49","483","null","18677","3311","54","47","null","131.0","795","34602","15622","29","1472","13","3","70655","81","192","64","null","null","116.0","29","209","38.0","31","380","16924","228","427","283","null","null","326","373","50692","47178","9","5628","null","105.0","4","11.0","73","127","33","624","null","null","20","null","null","397","147","1199","325","26","445","24","29","118.0","11","295","3","72",10601,"null","270000.0","null","null","17","4863","null","null","5628","null","27","428","null","null","616","null","1401","153","197","16","null","44","null","325000.0","null","null","355","139","674","null","11","156.0","1372.0","19077","1557","null","null","9","153","13","283","Lower Hunter","null"
"null","null","246","517","540","null","null","null","3",2015,"17","353","null","12221","2778","136","33","null","173.0","821","25014","9987","30","939","8","4","55841","66","260","61","null","null","170.0","30","182","82.0","17","317","14931","191","674","750","null","null","182","538","42712","40600","null","4893","null","148.0","4","22.0","46","106","8","643","null","null","12","null","null","421","137","272","289","9","511","13","29","173.0","10","188","3","72",10602,"null","305268.0","null","null","14","3106","null","null","4893","null","18","674","null","null","554","null","916","99","199","10","null","29","null","390000.0","null","null","170","null","512","null","14","256.0","1316.0","15898","1437","null","null","null","125","18","291","Maitland","null"
"null","null","321","438","396","17","null","null","5",2015,"21","407","null","11505","2581","125","46","null","435.0","936","28560","9125","15","672","14","null","56008","59","177","49","null","null","97.0","35","162","90.0","17","318","11948","309","328","364","null","null","251","203","43145","42142","7","4602","null","74.0","null","23.0","40","111","23","553","null","null","19","null","null","365","104","313","230","28","526","22","16","100.0","17","229","null","68",10603,"null","347000.0","null","null","13","2843","null","null","4602","null","15","328","null","null","497","null","1369","124","171","null","null","25","null","420000.0","null","null","273","107","578","null","14","190.0","1453.0","15534","1410","null","null","12","130","20","227","Port Stephens","null"
"null","null","112","138","249","null","null","null","null",2015,"13","222","null","9329","1666","2","26","null","7.0","272","11890","7222","7","905","7","3","25885","7","88","37","null","null","19.0","14","78","35.0","11","126","6982","55","59","116","null","null","120","57","16384","15577","null","2678","null","18.0","null","null","37","51","16","287","null","null","10","null","null","199","53","1071","135","3","199","4","17","20.0","5","61","null","19",10604,"null","215000.0","null","null","7","1530","null","null","2678","null","15","59","null","null","277","null","298","60","75","null","null","14","null","300000.0","null","null","145","null","286","null","null","56.0","295.0","7031","684","null","null","null","48","7","189","Upper Hunter","null"
"null","null","309","328","577","9","null","null","3",2015,"25","306","null","8347","1708","105","27","null","166.0","674","27199","7744","10","685","14","null","54209","50","189","34","null","null","97.0","20","121","52.0","16","287","12482","162","353","166","null","null","152","248","44453","41869","6","3326","null","78.0","3","19.0","39","100","4","484","null","null","17","null","null","289","114","60","232","10","322","20","22","100.0","7","204","null","59",10701,"null","365500.0","null","null","7","2707","null","null","3326","null","11","354","null","null","408","null","1369","91","175","5","null","31","null","425000.0","null","null","212","82","471","null","11","151.0","1204.0","14526","1103","null","null","8","137","22","228","Dapto  Port Kembla","null"
"null","null","null","null","null","null","null","null","null",2015,"null","null","null","null","null","null","null","null","null","null","4","null","null","null","null","null","7","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","8","7","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",10702,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","3","null","null","null","null","null","null","null","Illawarra Catchment Reserve","null"
"null","null","278","481","401","15","null","null","null",2015,"14","415","null","10853","2513","319","39","null","446.0","1108","32802","10076","8","821","9","null","67656","122","286","69","null","null","172.0","30","173","78.0","21","399","15671","284","601","331","null","null","255","282","55007","52160","3","4760","null","102.0","10","70.0","46","140","13","646","null","null","22","null","null","401","76","207","265","11","402","34","21","178.0","16","169","3","68",10703,"null","410000.0","null","null","11","3498","null","null","4760","null","16","620","null","null","547","null","1773","112","226","10","null","28","null","525000.0","null","null","244","97","601","null","14","256.0","1528.0","19190","1628","null","null","4","153","19","158","Kiama  Shellharbour","null"
"null","null","360","1214","647","22","null","null","5",2015,"76","713","null","13119","4855","741","38","null","1350.0","1448","39811","10586","11","900","17","6","85832","178","840","158","null","null","317.0","44","326","125.0","15","625","21431","250","1010","828","null","null","423","269","70879","68911","12","8678","null","129.0","7","188.0","94","220","23","1205","null","null","25","null","null","763","175","97","445","25","970","77","39","327.0","9","320","3","163",10704,"null","452000.0","null","null","13","4033","null","null","8678","null","12","1030","null","null","891","null","1679","126","404","14","null","24","null","640000.0","null","null","286","104","994","null","16","452.0","1455.0","24540","2763","null","null","9","234","33","143","Wollongong","null"
"null","null","102","169","170","16","null","null","3",2015,"null","175","null","5530","1324","53","18","null","328.0","458","14097","4372","3","689","6","null","25166","27","107","31","null","null","51.0","13","70","35.0","7","159","4843","180","174","114","null","null","140","121","19041","18475","null","2232","null","37.0","6","13.0","12","44","17","214","null","null","4","null","null","138","46","357","122","4","218","7","7","52.0","null","84","null","20",10801,"null","278500.0","null","null","null","1085","null","null","2232","null","15","174","null","null","211","null","617","51","64","null","null","8","null","386000.0","null","null","133","35","254","null","5","86.0","669.0","6192","649","null","null","7","60","3","62","Great Lakes","null"
"null","null","214","210","286","9","null","null","null",2015,"19","275","null","9063","2305","12","10","null","99.0","579","23593","7643","12","832","11","null","37615","56","175","29","null","null","45.0","14","71","50.0","8","271","5704","240","162","155","null","null","192","150","27813","26348","null","3589","null","42.0","null","3.0","11","83","19","311","null","null","9","null","null","209","57","1006","164","3","230","12","11","46.0","6","130","null","35",10802,"null","212000.0","null","null","5","1835","null","null","3589","null","9","162","null","null","337","null","778","56","86","null","null","14","null","298000.0","null","null","215","47","364","null","10","96.0","818.0","8332","888","null","null","4","68","5","197","Kempsey  Nambucca","null"
"null","null","8","null","3","null","null","null","null",2015,"null","5","null","55","28","null","null","null","null","3","132","78","null","3","null","null","230","4","3","3","null","null","null","null","null","null","null","4","29","null","null","3","null","null","20","null","188","102","null","50","null","null","null","null","null","null","1","3","null","null","null","null","null","3","null","3","3","null","null","null","null","null","null","null","null","3",10803,"null","null","null","null","null","32","null","null","50","null","null","null","null","null","11","null","null","null","null","null","null","null","null","null","null","null","12","null","9","null","null","null","null","80","14","null","null","null","3","null","null","Lord Howe Island","null"
"null","null","310","514","459","15","null","null","3",2015,"29","510","null","12582","3513","153","33","null","624.0","1188","31826","9779","8","910","19","3","60796","117","434","82","null","null","161.0","41","189","57.0","17","426","13175","370","585","462","null","null","292","432","47332","45689","13","5994","null","136.0","null","24.0","43","139","35","715","null","null","13","null","null","468","98","635","307","8","623","20","29","165.0","8","222","null","78",10804,"null","302000.0","null","null","8","3168","null","null","5994","null","20","585","null","null","631","null","857","114","217","8","null","26","null","441000.0","null","null","184","99","692","null","11","221.0","1546.0","15812","1749","null","null","8","140","12","208","Port Macquarie","null"
"null","null","236","239","358","16","null","null","3",2015,"25","343","null","10083","2540","23","27","null","184.0","674","25752","8375","6","869","13","null","44112","27","172","40","null","null","69.0","25","108","21.0","11","284","7784","282","255","206","null","null","185","232","33093","31628","10","3980","null","65.0","7","4.0","27","112","22","365","null","null","11","null","null","253","64","991","180","7","320","15","14","70.0","null","137","4","30",10805,"null","218000.0","null","null","null","2257","null","null","3980","null","6","255","null","null","354","null","997","76","95","6","null","17","null","320000.0","null","null","219","60","436","null","3","91.0","1118.0","10546","1028","null","null","9","71","10","99","Taree  Gloucester","null"
"null","null","332","448","266","15","null","null","9",2015,"27","385","null","10737","3398","91","38","null","296.0","874","22485","8691","6","964","17","3","43786","42","357","53","null","null","164.0","36","157","45.0","13","337","9616","143","543","430","null","null","232","452","31639","31032","9","5779","null","145.0","4","18.0","55","172","37","601","null","null","12","null","null","382","149","941","303","10","626","16","26","165.0","12","205","3","55",10901,"null","187000.0","null","null","19","2037","null","null","5779","null","20","543","null","null","646","null","1490","118","190","9","null","29","null","295000.0","null","null","240","103","534","null","150","210.0","1009.0","11653","1590","null","null","7","109","24","386","Albury","null"
"null","null","65","45","78","5","null","null","3",2015,"3","112","null","3535","806","null","4","null","17.0","168","4561","3027","9","241","null","null","8677","null","22","3","null","null","13.0","4","26","34.0","3","63","1933","11","35","52","null","null","67","35","5055","4754","null","1505","null","13.0","null","null","17","26","23","118","null","null","3","null","null","63","40","753","47","null","88","3","8","14.0","null","35","null","10",10902,"null","108000.0","null","null","null","381","null","null","1505","null","null","35","null","null","197","null","191","18","41","null","null","3","null","178000.0","null","null","54","13","148","null","5","48.0","209.0","2168","459","null","null","null","29","3","128","Lower Murray","null"
"null","null","298","186","248","10","null","null","3",2015,"8","342","null","11320","2805","2","13","null","123.0","533","17174","9218","3","950","null","3","32708","16","95","30","null","null","59.0","26","83","35.0","12","216","7395","133","183","244","null","null","248","181","20441","19939","null","4605","null","58.0","null","null","33","101","55","418","null","null","10","null","null","275","86","1778","162","9","391","10","17","62.0","null","134","null","25",10903,"null","178000.0","null","null","null","1160","null","null","4605","null","null","183","null","null","460","null","1128","51","122","null","null","13","null","240000.0","null","null","236","41","432","null","15","97.0","712.0","8110","1254","null","null","null","61","13","816","Upper Murray exc. Albury","null"
"null","null","173","285","214","10","null","null","3",2015,"16","263","null","8501","2523","32","12","null","67.0","452","15812","7155","8","939","5","3","28753","49","160","36","null","null","33.0","26","80","28.0","4","214","5480","83","134","191","null","null","166","102","20070","18651","null","4149","null","28.0","8","5.0","45","101","21","379","null","null","6","null","null","248","47","1587","121","7","372","10","20","35.0","5","82","3","40",11001,"null","245000.0","null","null","null","1367","null","null","4149","null","4","138","null","null","446","null","278","42","118","7","null","12","null","330000.0","null","null","180","32","368","null","3","63.0","530.0","7453","1136","null","null","8","82","10","148","Armidale","null"
"null","null","218","183","318","6","null","null","null",2015,"20","333","null","11242","3011","22","8","null","23.0","482","18709","9851","18","1397","4","3","31691","38","138","33","null","null","34.0","20","90","21.0","3","256","5624","119","145","148","null","null","132","123","20298","18279","3","4570","null","31.0","null","3.0","25","106","21","357","null","null","3","null","null","256","39","2188","167","4","237","16","12","35.0","7","93","3","17",11002,"null","185000.0","null","null","null","1333","null","null","4570","null","8","145","null","null","326","null","263","33","89","null","null","6","null","210000.0","null","null","225","27","434","null","3","56.0","599.0","7316","1192","null","null","3","82","13","149","Inverell  Tenterfield","null"
"null","null","198","127","237","11","null","null","5",2015,"12","254","null","9460","2000","4","12","null","24.0","344","10532","7632","3","923","5","null","21383","7","89","17","null","null","23.0","12","64","24.0","12","141","5467","32","62","139","null","null","92","58","11871","11236","null","3246","null","23.0","null","null","29","79","19","248","null","null","5","null","null","173","52","1368","137","6","296","5","10","28.0","3","73","3","13",11003,"null","141000.0","null","null","null","727","null","null","3246","null","7","79","null","null","361","null","142","46","60","null","null","14","null","255000.0","null","null","133","35","322","null","25","52.0","307.0","5432","835","null","null","6","57","3","451","Moree  Narrabri","null"
"null","null","481","427","682","21","null","null","5",2015,"33","630","null","20308","4832","74","48","null","108.0","1073","34050","17355","21","2269","20","10","66204","67","316","81","null","null","139.0","34","188","73.0","26","411","14945","215","508","460","null","null","279","434","45265","41567","10","7809","null","128.0","7","11.0","51","204","34","715","null","null","28","null","null","463","124","2456","349","8","630","25","30","146.0","10","252","8","62",11004,"null","215000.0","null","null","12","3177","null","null","7809","null","23","515","null","null","745","null","738","153","211","12","null","36","null","299000.0","null","null","324","132","828","null","19","219.0","1425.0","17243","2101","null","null","12","166","21","582","Tamworth  Gunnedah","null"
"null","null","337","957","557","19","null","null","7",2015,"29","698","null","14472","4262","301","46","null","496.0","1584","43612","12291","19","670","20","4","92166","125","653","114","null","null","199.0","49","270","136.0","22","500","21255","394","677","995","null","null","284","376","76020","73093","12","7818","null","135.0","6","64.0","79","233","15","961","null","null","21","null","null","602","189","78","405","28","767","37","31","220.0","9","326","6","120",11101,"null","375000.0","null","null","13","4826","null","null","7818","null","20","677","null","null","903","null","1557","145","322","18","null","36","null","476416.0","null","null","235","126","985","null","22","355.0","2077.0","27310","2470","null","null","10","231","28","71","Lake Macquarie  East","null"
"null","null","283","415","438","11","null","null","4",2015,"13","342","null","10156","2092","239","37","null","93.0","890","29913","8676","17","700","13","null","58291","42","221","68","null","null","211.0","20","147","92.0","14","275","12279","312","819","301","null","null","150","580","46557","44445","5","3895","null","173.0","5","38.0","41","131","3","527","null","null","9","null","null","323","68","88","200","13","363","23","20","220.0","9","188","null","58",11102,"null","350000.0","null","null","11","3414","null","null","3895","null","14","819","null","null","431","null","1560","102","186","17","null","26","null","420000.0","null","null","185","91","492","null","18","312.0","1436.0","16113","1304","null","null","10","132","20","108","Lake Macquarie  West","null"
"null","null","559","1741","895","39","null","null","16",2015,"26","1019","null","18133","6742","554","74","null","1070.0","1696","53910","15093","42","1157","39","13","120250","348","1246","192","null","null","296.0","93","526","233.0","37","873","31019","323","887","1304","null","null","641","333","100228","95630","20","12451","null","153.0","12","143.0","172","415","27","1643","null","null","24","null","null","1009","455","142","559","72","1546","94","69","303.0","18","424","16","189",11103,"null","425000.0","null","null","27","6507","null","null","12451","null","25","887","null","null","1577","null","1651","228","551","14","null","49","null","475000.0","null","null","352","189","1464","null","34","536.0","2802.0","35291","3677","null","null","24","333","55","267","Newcastle","null"
"null","null","315","934","379","20","null","null","5",2015,"36","687","null","12559","5284","112","29","null","697.0","1275","34386","10379","24","913","8","3","61715","298","566","160","null","null","191.0","38","308","136.0","15","670","11021","425","568","499","null","null","502","456","48294","46160","14","8482","null","158.0","8","33.0","82","320","34","938","null","null","11","null","null","659","163","1058","294","37","865","107","24","193.0","8","351","3","137",11201,"null","425000.0","null","null","6","2980","null","null","8482","null","9","570","null","null","794","null","799","88","251","7","null","16","null","585000.0","null","null","378","68","908","null","10","329.0","1269.0","16305","2247","null","null","10","181","26","65","Richmond Valley  Coastal","null"
"null","null","299","407","483","9","null","null","null",2015,"40","466","null","13685","4309","4","29","null","119.0","759","32269","11622","13","1260","7","6","55316","90","377","54","null","null","34.0","30","165","24.0","8","432","10145","340","114","296","null","null","207","110","41028","38672","9","6385","null","33.0","4","null","44","164","13","553","null","null","15","null","null","395","89","2086","269","7","446","40","16","36.0","9","224","null","76",11202,"null","228000.0","null","null","5","2306","null","null","6385","null","17","114","null","null","541","null","680","80","142","4","null","17","null","310000.0","null","null","315","71","601","null","11","60.0","1036.0","12878","1444","null","null","6","103","13","278","Richmond Valley  Hinterland","null"
"null","null","329","626","325","32","null","null","6",2015,"6","691","null","10510","4206","144","40","null","1043.0","1374","30394","9364","20","926","22","3","58282","193","426","86","null","null","180.0","29","213","46.0","24","507","11986","325","573","444","null","null","305","429","46868","44833","10","6754","null","143.0","15","37.0","65","209","26","853","null","null","23","null","null","574","117","641","319","17","694","70","37","183.0","14","272","3","110",11203,"null","330000.0","null","null","8","2168","null","null","6754","null","16","573","null","null","616","null","890","148","235","13","null","32","null","485000.0","null","null","211","116","871","null","26","229.0","1394.0","15928","1817","null","null","18","151","13","124","Tweed Valley","null"
